year,month,day,mean_wind_speed,rainfall,solar_radiation,evaporation,
2005,6,23,2.3,0.0,17.39,2.8,
2005,6,24,2.7,0.0,18.17,3.5,
2005,6,25,2.3,-33.3,15.78,3.4,
2005,6,26,2.7,0.0,21.31,2.8,
2005,6,27,2.2,18.4,16.13,2.6,
2005,6,28,2.2,6.4,12.99,2.2,
2005,6,29,2.0,17.4,12.95,2.5,
2005,6,30,2.4,0.0,16.97,3.3,
2005,7,1,2.5,0.2,17.44,2.7,
2005,7,2,2.2,0.0,9.60,1.5,
2005,7,3,2.4,0.0,20.60,3.7,
2005,7,4,2.6,0.0,18.19,4.4,
2005,7,5,2.2,26.0,17.25,3.6,
2005,7,6,1.5,16.0,13.01,4.3,
2005,7,7,1.4,23.2,13.06,1.6,
2005,7,8,2.2,19.2,17.52,4.0,
2005,7,9,2.2,0.0,22.24,3.4,
2005,7,10,1.9,0.0,22.39,3.9,
2005,7,11,2.5,0.0,19.93,3.7,
2005,7,12,2.2,6.2,14.86,1.3,
2005,7,13,2.3,0.0,20.83,3.9,
2005,7,14,1.5,0.4,23.07,3.6,
2005,7,15,1.9,0.8,19.67,2.9,
2005,7,16,1.6,-33.3,8.50,1.3,
2005,7,17,1.3,-33.3,11.44,1.3,
2005,7,18,1.8,12.6,10.86,1.6,
2005,7,19,2.3,0.0,10.14,2.7,
2005,7,20,2.8,2.2,18.50,2.8,
2005,7,21,2.7,-33.3,18.90,3.2,
2005,7,22,2.4,0.0,15.35,2.6,
2005,7,23,2.3,5.0,7.62,0.6,
2005,7,24,2.2,3.2,15.27,1.3,
2005,7,25,2.9,1.6,19.10,2.9,
2005,7,26,1.9,3.6,6.89,1.3,
2005,7,27,1.9,0.0,17.91,2.8,
2005,7,28,3.2,0.0,18.50,3.1,
2005,7,29,2.8,2.4,17.99,2.4,
2005,7,30,2.6,0.0,15.45,2.4,
2005,7,31,2.4,0.0,20.46,4.1,
2005,8,1,2.6,19.8,16.11,3.3,
2005,8,2,2.6,19.4,15.21,1.9,
2005,8,3,2.3,0.0,21.18,4.6,
2005,8,4,2.5,0.0,14.78,1.8,
2005,8,5,2.1,2.6,15.13,1.7,
2005,8,6,2.5,0.0,13.74,2.9,
2005,8,7,2.5,0.0,18.70,3.5,
2005,8,8,2.9,0.0,16.29,2.7,
2005,8,9,2.1,0.0,16.03,2.9,
2005,8,10,2.8,0.0,17.92,4.3,
2005,8,11,2.5,1.2,14.06,2.3,
